Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
3747,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",42160,696999,2016,"""Noida""",6
3748,"""2017 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",47065,568099,2017,"""Noida""",5
3749,"""2017 Maruti S Cross""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-S""",91458,822599,2017,"""Noida""",5
3750,"""2013 Maruti Ertiga""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ertiga""",161023,465899,2013,"""Noida""",9
3751,"""2013 Toyota Fortuner""","""Automatic""","""1st Owner""","""Diesel""","""Toyota-Fortuner""",197865,1150199,2013,"""Noida""",9
3752,"""2015 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",46790,390899,2015,"""Noida""",7
3753,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",102593,389799,2014,"""Noida""",8
3754,"""2018 Ford Ecosport""","""Manual""","""1st Owner""","""Diesel""","""Ford-Ecosport""",35898,770499,2018,"""Noida""",4
3755,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",72145,707399,2016,"""Noida""",6
3756,"""2019 Maruti Alto K10""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",33608,371999,2019,"""Noida""",3
3757,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",65905,643799,2016,"""Noida""",6
3758,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",57235,651199,2016,"""Noida""",6
3759,"""2009 Maruti Zen Estilo""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Zen""",44809,203099,2009,"""Noida""",13
3760,"""2017 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",43454,693899,2017,"""Noida""",5
3761,"""2014 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",39381,390799,2014,"""Noida""",8
3762,"""2017 Maruti S Cross""","""Manual""","""2nd Owner""","""Diesel""","""Maruti-S""",96675,777099,2017,"""Noida""",5
3763,"""2013 Toyota Fortuner""","""Manual""","""2nd Owner""","""Diesel""","""Toyota-Fortuner""",117699,1143599,2013,"""Noida""",9
